archivo,fila,motivo,registro
deposito.DBF,180,OPERADOR vacio,"{'NUMERO': 180, 'FECHA': datetime.date(2018, 10, 24), 'TURNO': 2, 'OPERADOR': '', 'POR_20K': 0, 'POR_10K': 0, 'POR_05K': 0, 'POR_02K': 0, 'POR_01K': 0, 'POR_05C': 25, 'POR_01C': 0, 'POR_50U': 1, 'POR_10U': 0, 'ACEITE_C': 0, 'PROMO_C': 0, 'VAL_20K': 0, 'VAL_10K': 0, 'VAL_05K': 0, 'VAL_02K': 0, 'VAL_01K': 0, 'VAL_05C': 12500, 'VAL_01C': 0, 'VAL_50U': 50, 'VAL_10U': 0, 'ACEITE_V': 0, 'PROMO_V': 0, 'VAL_OTRO': 0, 'VAL_COMB': 12550, 'TOTAL_V': 12550}"
deposito.DBF,207,OPERADOR vacio,"{'NUMERO': 207, 'FECHA': datetime.date(2018, 10, 25), 'TURNO': 0, 'OPERADOR': '', 'POR_20K': 0, 'POR_10K': 0, 'POR_05K': 0, 'POR_02K': 0, 'POR_01K': 0, 'POR_05C': 0, 'POR_01C': 0, 'POR_50U': 0, 'POR_10U': 0, 'ACEITE_C': 1, 'PROMO_C': 0, 'VAL_20K': 0, 'VAL_10K': 0, 'VAL_05K': 0, 'VAL_02K': 0, 'VAL_01K': 0, 'VAL_05C': 0, 'VAL_01C': 0, 'VAL_50U': 0, 'VAL_10U': 0, 'ACEITE_V': 4500, 'PROMO_V': 0, 'VAL_OTRO': 4500, 'VAL_COMB': 0, 'TOTAL_V': 4500}"
deposito.DBF,208,OPERADOR vacio,"{'NUMERO': 208, 'FECHA': datetime.date(2018, 10, 25), 'TURNO': 0, 'OPERADOR': '', 'POR_20K': 0, 'POR_10K': 0, 'POR_05K': 0, 'POR_02K': 0, 'POR_01K': 0, 'POR_05C': 0, 'POR_01C': 0, 'POR_50U': 0, 'POR_10U': 0, 'ACEITE_C': 0, 'PROMO_C': 0, 'VAL_20K': 0, 'VAL_10K': 0, 'VAL_05K': 0, 'VAL_02K': 0, 'VAL_01K': 0, 'VAL_05C': 0, 'VAL_01C': 0, 'VAL_50U': 0, 'VAL_10U': 0, 'ACEITE_V': 0, 'PROMO_V': 0, 'VAL_OTRO': 0, 'VAL_COMB': 0, 'TOTAL_V': 0}"
deposito.DBF,227,OPERADOR vacio,"{'NUMERO': 227, 'FECHA': datetime.date(2018, 10, 25), 'TURNO': 0, 'OPERADOR': '', 'POR_20K': 2, 'POR_10K': 0, 'POR_05K': 0, 'POR_02K': 0, 'POR_01K': 0, 'POR_05C': 0, 'POR_01C': 0, 'POR_50U': 0, 'POR_10U': 0, 'ACEITE_C': 0, 'PROMO_C': 0, 'VAL_20K': 40000, 'VAL_10K': 0, 'VAL_05K': 0, 'VAL_02K': 0, 'VAL_01K': 0, 'VAL_05C': 0, 'VAL_01C': 0, 'VAL_50U': 0, 'VAL_10U': 0, 'ACEITE_V': 0, 'PROMO_V': 0, 'VAL_OTRO': 0, 'VAL_COMB': 40000, 'TOTAL_V': 40000}"
deposito.DBF,296,OPERADOR vacio,"{'NUMERO': 296, 'FECHA': datetime.date(2018, 10, 28), 'TURNO': 1, 'OPERADOR': '', 'POR_20K': 8, 'POR_10K': 2, 'POR_05K': 0, 'POR_02K': 0, 'POR_01K': 10, 'POR_05C': 0, 'POR_01C': 0, 'POR_50U': 0, 'POR_10U': 0, 'ACEITE_C': 0, 'PROMO_C': 0, 'VAL_20K': 160000, 'VAL_10K': 20000, 'VAL_05K': 0, 'VAL_02K': 0, 'VAL_01K': 10000, 'VAL_05C': 0, 'VAL_01C': 0, 'VAL_50U': 0, 'VAL_10U': 0, 'ACEITE_V': 0, 'PROMO_V': 0, 'VAL_OTRO': 0, 'VAL_COMB': 190000, 'TOTAL_V': 190000}"
deposito.DBF,310,OPERADOR vacio,"{'NUMERO': 310, 'FECHA': datetime.date(2018, 10, 28), 'TURNO': 2, 'OPERADOR': '', 'POR_20K': 0, 'POR_10K': 5, 'POR_05K': 5, 'POR_02K': 4, 'POR_01K': 19, 'POR_05C': 2, 'POR_01C': 0, 'POR_50U': 0, 'POR_10U': 0, 'ACEITE_C': 0, 'PROMO_C': 0, 'VAL_20K': 0, 'VAL_10K': 50000, 'VAL_05K': 25000, 'VAL_02K': 8000, 'VAL_01K': 19000, 'VAL_05C': 1000, 'VAL_01C': 0, 'VAL_50U': 0, 'VAL_10U': 0, 'ACEITE_V': 0, 'PROMO_V': 0, 'VAL_OTRO': 0, 'VAL_COMB': 103000, 'TOTAL_V': 103000}"
deposito.DBF,415,OPERADOR vacio,"{'NUMERO': 415, 'FECHA': datetime.date(2018, 11, 1), 'TURNO': 0, 'OPERADOR': '', 'POR_20K': 0, 'POR_10K': 0, 'POR_05K': 0, 'POR_02K': 0, 'POR_01K': 0, 'POR_05C': 0, 'POR_01C': 0, 'POR_50U': 0, 'POR_10U': 0, 'ACEITE_C': 1, 'PROMO_C': 0, 'VAL_20K': 0, 'VAL_10K': 0, 'VAL_05K': 0, 'VAL_02K': 0, 'VAL_01K': 0, 'VAL_05C': 0, 'VAL_01C': 0, 'VAL_50U': 0, 'VAL_10U': 0, 'ACEITE_V': 9000, 'PROMO_V': 0, 'VAL_OTRO': 9000, 'VAL_COMB': 0, 'TOTAL_V': 9000}"
deposito.DBF,416,OPERADOR vacio,"{'NUMERO': 416, 'FECHA': datetime.date(2018, 11, 1), 'TURNO': 0, 'OPERADOR': '', 'POR_20K': 0, 'POR_10K': 0, 'POR_05K': 0, 'POR_02K': 0, 'POR_01K': 0, 'POR_05C': 0, 'POR_01C': 0, 'POR_50U': 0, 'POR_10U': 0, 'ACEITE_C': 1, 'PROMO_C': 0, 'VAL_20K': 0, 'VAL_10K': 0, 'VAL_05K': 0, 'VAL_02K': 0, 'VAL_01K': 0, 'VAL_05C': 0, 'VAL_01C': 0, 'VAL_50U': 0, 'VAL_10U': 0, 'ACEITE_V': 9000, 'PROMO_V': 0, 'VAL_OTRO': 9000, 'VAL_COMB': 0, 'TOTAL_V': 9000}"
deposito.DBF,431,OPERADOR vacio,"{'NUMERO': 431, 'FECHA': datetime.date(2018, 11, 1), 'TURNO': 0, 'OPERADOR': '', 'POR_20K': 0, 'POR_10K': 0, 'POR_05K': 0, 'POR_02K': 0, 'POR_01K': 0, 'POR_05C': 0, 'POR_01C': 0, 'POR_50U': 0, 'POR_10U': 0, 'ACEITE_C': 0, 'PROMO_C': 0, 'VAL_20K': 0, 'VAL_10K': 0, 'VAL_05K': 0, 'VAL_02K': 0, 'VAL_01K': 0, 'VAL_05C': 0, 'VAL_01C': 0, 'VAL_50U': 0, 'VAL_10U': 0, 'ACEITE_V': 5900, 'PROMO_V': 0, 'VAL_OTRO': 5900, 'VAL_COMB': 0, 'TOTAL_V': 5900}"
deposito.DBF,432,OPERADOR vacio,"{'NUMERO': 432, 'FECHA': datetime.date(2018, 11, 1), 'TURNO': 0, 'OPERADOR': '', 'POR_20K': 0, 'POR_10K': 0, 'POR_05K': 0, 'POR_02K': 0, 'POR_01K': 0, 'POR_05C': 0, 'POR_01C': 0, 'POR_50U': 0, 'POR_10U': 0, 'ACEITE_C': 1, 'PROMO_C': 0, 'VAL_20K': 0, 'VAL_10K': 0, 'VAL_05K': 0, 'VAL_02K': 0, 'VAL_01K': 0, 'VAL_05C': 0, 'VAL_01C': 0, 'VAL_50U': 0, 'VAL_10U': 0, 'ACEITE_V': 5900, 'PROMO_V': 0, 'VAL_OTRO': 5900, 'VAL_COMB': 0, 'TOTAL_V': 5900}"
deposito.DBF,452,OPERADOR vacio,"{'NUMERO': 452, 'FECHA': datetime.date(2018, 11, 2), 'TURNO': 2, 'OPERADOR': '', 'POR_20K': 3, 'POR_10K': 2, 'POR_05K': 4, 'POR_02K': 0, 'POR_01K': 0, 'POR_05C': 0, 'POR_01C': 0, 'POR_50U': 0, 'POR_10U': 0, 'ACEITE_C': 0, 'PROMO_C': 0, 'VAL_20K': 60000, 'VAL_10K': 20000, 'VAL_05K': 20000, 'VAL_02K': 0, 'VAL_01K': 0, 'VAL_05C': 0, 'VAL_01C': 0, 'VAL_50U': 0, 'VAL_10U': 0, 'ACEITE_V': 0, 'PROMO_V': 0, 'VAL_OTRO': 0, 'VAL_COMB': 100000, 'TOTAL_V': 100000}"
deposito.DBF,453,OPERADOR vacio,"{'NUMERO': 453, 'FECHA': datetime.date(2018, 11, 2), 'TURNO': 0, 'OPERADOR': '', 'POR_20K': 0, 'POR_10K': 0, 'POR_05K': 0, 'POR_02K': 0, 'POR_01K': 0, 'POR_05C': 0, 'POR_01C': 0, 'POR_50U': 0, 'POR_10U': 0, 'ACEITE_C': 0, 'PROMO_C': 0, 'VAL_20K': 0, 'VAL_10K': 0, 'VAL_05K': 0, 'VAL_02K': 0, 'VAL_01K': 0, 'VAL_05C': 0, 'VAL_01C': 0, 'VAL_50U': 0, 'VAL_10U': 0, 'ACEITE_V': 0, 'PROMO_V': 0, 'VAL_OTRO': 0, 'VAL_COMB': 0, 'TOTAL_V': 0}"
deposito.DBF,483,OPERADOR vacio,"{'NUMERO': 483, 'FECHA': datetime.date(2018, 11, 3), 'TURNO': 2, 'OPERADOR': '', 'POR_20K': 6, 'POR_10K': 3, 'POR_05K': 2, 'POR_02K': 0, 'POR_01K': 0, 'POR_05C': 0, 'POR_01C': 0, 'POR_50U': 0, 'POR_10U': 0, 'ACEITE_C': 0, 'PROMO_C': 0, 'VAL_20K': 120000, 'VAL_10K': 30000, 'VAL_05K': 10000, 'VAL_02K': 0, 'VAL_01K': 0, 'VAL_05C': 0, 'VAL_01C': 0, 'VAL_50U': 0, 'VAL_10U': 0, 'ACEITE_V': 0, 'PROMO_V': 0, 'VAL_OTRO': 0, 'VAL_COMB': 160000, 'TOTAL_V': 160000}"
deposito.DBF,553,OPERADOR vacio,"{'NUMERO': 553, 'FECHA': datetime.date(2018, 11, 6), 'TURNO': 1, 'OPERADOR': '', 'POR_20K': 4, 'POR_10K': 7, 'POR_05K': 0, 'POR_02K': 0, 'POR_01K': 0, 'POR_05C': 0, 'POR_01C': 0, 'POR_50U': 0, 'POR_10U': 0, 'ACEITE_C': 0, 'PROMO_C': 0, 'VAL_20K': 80000, 'VAL_10K': 70000, 'VAL_05K': 0, 'VAL_02K': 0, 'VAL_01K': 0, 'VAL_05C': 0, 'VAL_01C': 0, 'VAL_50U': 0, 'VAL_10U': 0, 'ACEITE_V': 0, 'PROMO_V': 0, 'VAL_OTRO': 0, 'VAL_COMB': 150000, 'TOTAL_V': 150000}"
deposito.DBF,595,OPERADOR vacio,"{'NUMERO': 595, 'FECHA': datetime.date(2018, 11, 7), 'TURNO': 2, 'OPERADOR': '', 'POR_20K': 5, 'POR_10K': 5, 'POR_05K': 0, 'POR_02K': 0, 'POR_01K': 0, 'POR_05C': 0, 'POR_01C': 0, 'POR_50U': 0, 'POR_10U': 0, 'ACEITE_C': 0, 'PROMO_C': 0, 'VAL_20K': 100000, 'VAL_10K': 50000, 'VAL_05K': 0, 'VAL_02K': 0, 'VAL_01K': 0, 'VAL_05C': 0, 'VAL_01C': 0, 'VAL_50U': 0, 'VAL_10U': 0, 'ACEITE_V': 0, 'PROMO_V': 0, 'VAL_OTRO': 0, 'VAL_COMB': 150000, 'TOTAL_V': 150000}"
deposito.DBF,688,OPERADOR vacio,"{'NUMERO': 689, 'FECHA': datetime.date(2018, 11, 10), 'TURNO': 0, 'OPERADOR': '', 'POR_20K': 6, 'POR_10K': 10, 'POR_05K': 0, 'POR_02K': 0, 'POR_01K': 20, 'POR_05C': 0, 'POR_01C': 0, 'POR_50U': 0, 'POR_10U': 0, 'ACEITE_C': 0, 'PROMO_C': 0, 'VAL_20K': 120000, 'VAL_10K': 100000, 'VAL_05K': 0, 'VAL_02K': 0, 'VAL_01K': 20000, 'VAL_05C': 0, 'VAL_01C': 0, 'VAL_50U': 0, 'VAL_10U': 0, 'ACEITE_V': 0, 'PROMO_V': 0, 'VAL_OTRO': 0, 'VAL_COMB': 240000, 'TOTAL_V': 240000}"
deposito.DBF,689,OPERADOR vacio,"{'NUMERO': 690, 'FECHA': datetime.date(2018, 11, 10), 'TURNO': 0, 'OPERADOR': '', 'POR_20K': 0, 'POR_10K': 0, 'POR_05K': 0, 'POR_02K': 0, 'POR_01K': 0, 'POR_05C': 0, 'POR_01C': 0, 'POR_50U': 0, 'POR_10U': 0, 'ACEITE_C': 0, 'PROMO_C': 0, 'VAL_20K': 0, 'VAL_10K': 0, 'VAL_05K': 0, 'VAL_02K': 0, 'VAL_01K': 0, 'VAL_05C': 0, 'VAL_01C': 0, 'VAL_50U': 0, 'VAL_10U': 0, 'ACEITE_V': 0, 'PROMO_V': 0, 'VAL_OTRO': 0, 'VAL_COMB': 0, 'TOTAL_V': 0}"
deposito.DBF,690,OPERADOR vacio,"{'NUMERO': 691, 'FECHA': datetime.date(2018, 11, 10), 'TURNO': 0, 'OPERADOR': '', 'POR_20K': 0, 'POR_10K': 0, 'POR_05K': 0, 'POR_02K': 0, 'POR_01K': 0, 'POR_05C': 0, 'POR_01C': 0, 'POR_50U': 0, 'POR_10U': 0, 'ACEITE_C': 0, 'PROMO_C': 0, 'VAL_20K': 0, 'VAL_10K': 0, 'VAL_05K': 0, 'VAL_02K': 0, 'VAL_01K': 0, 'VAL_05C': 0, 'VAL_01C': 0, 'VAL_50U': 0, 'VAL_10U': 0, 'ACEITE_V': 0, 'PROMO_V': 0, 'VAL_OTRO': 0, 'VAL_COMB': 0, 'TOTAL_V': 0}"
deposito.DBF,691,OPERADOR vacio,"{'NUMERO': 692, 'FECHA': datetime.date(2018, 11, 10), 'TURNO': 0, 'OPERADOR': '', 'POR_20K': 0, 'POR_10K': 0, 'POR_05K': 0, 'POR_02K': 0, 'POR_01K': 0, 'POR_05C': 0, 'POR_01C': 0, 'POR_50U': 0, 'POR_10U': 0, 'ACEITE_C': 0, 'PROMO_C': 0, 'VAL_20K': 0, 'VAL_10K': 0, 'VAL_05K': 0, 'VAL_02K': 0, 'VAL_01K': 0, 'VAL_05C': 0, 'VAL_01C': 0, 'VAL_50U': 0, 'VAL_10U': 0, 'ACEITE_V': 0, 'PROMO_V': 0, 'VAL_OTRO': 0, 'VAL_COMB': 0, 'TOTAL_V': 0}"
